book_tickets,book movie ticket
book_tickets,want to book tickets
book_tickets,tickets
book_tickets,I want to book tickets?
book_tickets,How to book tickets?
book_tickets,how to book movie ticket
book_tickets,How can i book tickets?
book_tickets,can i book tickets?
book_tickets,book ticket for this movie
book_tickets,book ticket
book_tickets,book tickets
greetings,Good afternoon sir,gud aftn sir,ga sir,gaftn sr
greetings,Hello,hi,hy,hey
greetings,Good morning,gud mrg,gud morg,gm
greetings,Good afternoon,gud aftn,gaft
greetings,Good evening,gud evn,ge
greetings,Good evening sir,gud evn sir,ge sir
greetings,Good morning mam,gud mrg mam,gm mam
greetings,Good morning madam,gud mrg madam,gm madam
greetings,Good morning sir,gud mon sir,gm sir,gm sr
inquiry,I want to inquiry for timings
inquiry,I want to inquiry for movie timings
inquiry,I want to inquiry for movie
inquiry,movie timings inquiry
inquiry,movie inquiry
inquiry,inquiry timings
inquiry,inquiry movie
inquiry,inquiry for movie
inquiry,inquiry for timings
inquiry,inquiry for movie timings
inquiry,I want to inquiry timing
Movies_availability,how many movies are available right now?
Movies_availability,Is movie available?
Movies_availability,movie availability
Movies_availability,movie available
Movies_availability,movies available
Movies_availability,which are the movies?
Movies_availability,Which movie are available?
Movies_availability,Which movies are available right now?
Movies_availability,Which movies are available?
Movies_availability,how many movie are available?
